Date,Time,Lat,Lon,Wind,Pressure
Oct 5,15:00 GMT,22.1,-95.1,35,1007
Oct 5,17:25 GMT,22.3,-95.3,40,1006
Oct 5,21:00 GMT,22.7,-95.5,40,1006
Oct 6,03:00 GMT,22.9,-95.1,45,1005
Oct 6,06:00 GMT,23,-95.1,45,1005
Oct 6,09:00 GMT,23,-94.9,50,1003
Oct 6,12:00 GMT,22.6,-94.9,60,991
Oct 6,15:00 GMT,22.4,-94.4,65,991
Oct 6,18:00 GMT,22.5,-94,80,988
Oct 6,21:00 GMT,22.4,-93.8,85,983
Oct 7,00:00 GMT,22.5,-93.4,85,981
Oct 7,03:00 GMT,22.4,-93.1,90,977
Oct 7,06:00 GMT,22.2,-93,90,975
Oct 7,09:00 GMT,22.1,-92.6,100,972
Oct 7,11:00 GMT,21.9,-92.4,120,954
Oct 7,12:00 GMT,21.8,-92.2,125,945
Oct 7,13:05 GMT,21.7,-92,150,940
Oct 7,15:00 GMT,21.7,-91.7,155,933
Oct 7,15:55 GMT,21.7,-91.6,160,925
Oct 7,18:00 GMT,21.7,-91.3,175,911
Oct 7,21:00 GMT,21.8,-90.8,180,905
Oct 8,00:00 GMT,21.9,-90.4,180,897
Oct 8,03:00 GMT,21.8,-89.9,165,914
Oct 8,06:00 GMT,22.1,-89.2,155,924
Oct 8,09:00 GMT,22.3,-88.9,155,924
Oct 8,12:00 GMT,22.5,-88.8,145,929
Oct 8,15:00 GMT,22.7,-88.4,150,929
Oct 8,18:00 GMT,22.5,-88.2,155,923
Oct 8,21:00 GMT,22.7,-87.5,165,918
Oct 8,21:30 GMT,22.7,-87.4,165,905
Oct 9,00:00 GMT,23,-86.9,165,902
Oct 9,03:00 GMT,23.4,-86.5,160,915
Oct 9,06:00 GMT,23.8,-86,160,914
Oct 9,09:00 GMT,24.5,-85.4,160,907
Oct 9,12:00 GMT,25,-84.8,155,915
Oct 9,13:00 GMT,25.3,-84.6,155,918
Oct 9,14:00 GMT,25.5,-84.5,155,919
Oct 9,15:00 GMT,25.8,-84.3,145,931
Oct 9,16:00 GMT,26,-84.2,145,931
Oct 9,17:00 GMT,26.2,-84.2,145,935
Oct 9,18:00 GMT,26.3,-84,130,944
Oct 9,19:00 GMT,26.6,-83.7,130,948
Oct 9,20:00 GMT,26.9,-83.5,125,950
Oct 9,21:00 GMT,26.9,-83.4,120,948
Oct 9,22:00 GMT,27,-83.3,120,948
Oct 9,23:00 GMT,27.1,-83,120,952
Oct 10,00:00 GMT,27.2,-82.8,120,954
Oct 10,00:30 GMT,27.3,-82.6,120,954
Oct 10,01:00 GMT,27.4,-82.5,115,956
Oct 10,02:00 GMT,27.5,-82.3,110,958
Oct 10,03:00 GMT,27.6,-82,105,960
Oct 10,04:00 GMT,27.8,-81.8,100,966
Oct 10,05:00 GMT,28,-81.6,90,970
Oct 10,06:00 GMT,28.1,-81.3,90,975
Oct 10,07:00 GMT,28.3,-80.9,85,977
Oct 10,08:00 GMT,28.5,-80.7,85,977
Oct 10,09:00 GMT,28.5,-80.5,85,976
Oct 10,12:00 GMT,28.9,-79.5,85,980
Oct 10,15:00 GMT,29.1,-78.5,80,983
Oct 10,18:00 GMT,29.3,-77.5,75,983
Oct 10,21:00 GMT,29.5,-76.3,70,983
